id,brand_id,name,slug,description,price,currency,category,status,deleted
b026350e-8eaa-5941-9481-54218fd45882,217f06df-35cd-513d-8362-81959b1f4809,Apple iPhone 15,apple-iphone-15,"The Apple iPhone 15 delivers cutting-edge performance with the powerful A16 Bionic chip, an advanced dual-camera system, and a stunning Super Retina XDR display. Designed with durability and premium materials, it offers faster processing, longer battery life, and seamless iOS integration, making it perfect for productivity, entertainment, and everyday use.",2599,RON,SMARTPHONES,ACTIVE,false
d4abe741-a2ae-5935-8998-9deb931b139e,63efe18b-c626-53d8-89be-f2a62bbff3ac,Samsung Galaxy S24,samsung-galaxy-s24,"The Samsung Galaxy S24 is a flagship smartphone built for speed and versatility. Featuring an immersive Dynamic AMOLED display, powerful Snapdragon processor, and advanced AI-powered cameras, it ensures top-tier performance. With its sleek design, 5G connectivity, and all-day battery life, it provides an exceptional experience for work, gaming, and creativity.",3899,RON,SMARTPHONES,ACTIVE,false
7c13f0d9-92f1-55e2-98ee-aaca33f75759,3d9b1538-2128-5c1a-abd7-9844796ad6bc,Google Pixel 8,google-pixel-8,"The Google Pixel 8 redefines smartphone intelligence with its Tensor G3 chip, delivering optimized performance and efficient power management. Equipped with advanced computational photography, it captures stunning photos in any lighting condition. Its smooth Android experience, guaranteed updates, and AI-driven features make it ideal for those who value speed, security, and innovation.",2899,RON,SMARTPHONES,ACTIVE,false
e75684d8-558a-58ff-a3cc-04edd8e3bb27,217f06df-35cd-513d-8362-81959b1f4809,Apple MacBook Air (M3),apple-macbook-air-m3,"The Apple MacBook Air (M3) is designed for speed and efficiency, powered by Apple’s next-generation M3 chip. Featuring a stunning Retina display, ultra-lightweight design, and all-day battery life, it’s ideal for students, professionals, and creators. Its silent performance, premium build, and seamless macOS experience make it perfect for both work and entertainment.",1299,RON,LAPTOPS,ACTIVE,false
3747ada4-66e2-524d-a3de-2991105981f8,f4ed0116-6e72-5588-aee3-a78b802836a6,Dell XPS 13,dell-xps-13,"The Dell XPS 13 combines elegance and power in an ultra-thin design. With its InfinityEdge display, the latest Intel processors, and exceptional battery life, it’s perfect for productivity and multimedia. Premium materials and a compact build make it a go-to choice for users who want portability without sacrificing performance or visual quality.",2299,RON,LAPTOPS,ACTIVE,false
1c9c6a20-b959-555f-b1bb-630aec9f60d8,a3a7d254-3a4c-5ec1-93ed-7eedc0e6622e,Lenovo ThinkPad X1 Carbon,lenovo-thinkpad-x1-carbon,"The Lenovo ThinkPad X1 Carbon is a flagship business laptop built for professionals who demand reliability, speed, and security. Featuring a lightweight carbon-fiber chassis, vivid display options, and exceptional battery performance, it offers powerful multitasking capabilities. Enhanced with ThinkShield security and durability, it’s ideal for business travelers and productivity-focused users.",1299,RON,LAPTOPS,ACTIVE,false
41a6c29c-bbbc-5ff6-bd05-4b2c0aad27dd,217f06df-35cd-513d-8362-81959b1f4809,Apple iPad Air (M2),apple-ipad-air-m2,"The Apple iPad Air (M2) delivers powerful performance with the advanced M2 chip, offering a seamless blend of productivity and creativity. Its Liquid Retina display ensures stunning visuals, while Apple Pencil and Magic Keyboard compatibility make it a versatile tool for professionals, students, and creators alike. Compact, lightweight, and built to perform.",799,RON,TABLETS,ACTIVE,false
e8b52c1a-ec9f-52ab-90e3-1eed657eb350,63efe18b-c626-53d8-89be-f2a62bbff3ac,Samsung Galaxy Tab S9,samsung-galaxy-tab-s9,"The Samsung Galaxy Tab S9 is designed for premium entertainment and productivity. With a Dynamic AMOLED 2X display, Snapdragon performance, and S Pen integration, it’s perfect for work, gaming, and creativity. Its slim design, long-lasting battery, and seamless One UI experience make it one of the most versatile Android tablets available.",599,RON,TABLETS,ACTIVE,false
df69dee3-53c9-538c-93fe-4c47b31dba33,4c801a0c-d7c6-548e-865f-384951b68966,Amazon Fire HD 10 (2023),amazon-fire-hd-10-2023,"The Amazon Fire HD 10 (2023) combines affordability with impressive performance. Featuring a vibrant Full HD display, powerful octa-core processor, and long-lasting battery, it’s ideal for streaming, browsing, and light productivity. With Alexa integration and access to Amazon’s ecosystem, it’s a great choice for entertainment and everyday digital experiences.",599,RON,TABLETS,ACTIVE,false
f35470ea-0f2c-531f-97df-e8c0cc94d168,217f06df-35cd-513d-8362-81959b1f4809,Apple Mac mini (M2),apple-mac-mini-m2,"The Apple Mac mini (M2) is a compact yet incredibly powerful desktop computer designed for professionals and creators. Featuring Apple’s M2 chip, it delivers lightning-fast performance for multitasking, video editing, and demanding workloads. Its minimalist design, silent operation, and seamless integration with macOS make it an ideal choice for modern workspaces.",1499,RON,DESKTOPS,ACTIVE,false
